asc,temp
861,77.79
854,76.29
833,74.84
830,73.08
811,71.44
802,69.82
792,68.15
782,66.34
766,64.69
753,63.05
738,61.4
733,59.86
721,58.36
712,56.91
691,55.39
677,52.75
667,51.43
655,50.19
645,49.05
639,47.98
633,47
629,45.99
613,45.05
616,44.14
610,43.35
607,42.67
600,41.92
601,41.2
597,40.42
594,39.73
584,39.1
583,37.87
579,37.28
570,36.78
573,36.29
567,35.83
557,34.73
559,34.23
550,33.8
554,33.33
552,32.88
547,32.45
544,32.01
543,31.57
541,31.24
532,30.82
535,30.49
533,30.18
532,29.84
520,29.52
528,29.26
526,28.97
524,28.69
522,28.43
517,28.23
519,27.99
520,27.77
517,27.54
514,27.36
513,26.72
507,26.56
510,26.38
509,26.2
508,26.03
504,25.85
508,25.68
506,25.52
505,25.36
497,25.22
502,25.08
500,24.94
499,24.68
496,24.55
498,24.43
497,24.2
492,24.1
497,24
496,23.87
494,23.77
493,23.7
492,23.48
485,23.28
490,23.12
487,23.04
481,22.94
485,22.83
484,22.74
482,22.45
483,22.37
477,22.22
482,22.18
481,22.11
474,21.98
480,21.89
478,21.82
474,21.75
478,21.68
482,21.57
476,21.53
477,21.45
476,21.41
474,21.2
475,21.13
474,21.08
473,21.05
469,21.02
474,20.97
478,20.94
474,20.87
466,20.84
471,20.8
469,20.78
471,20.73
466,20.67
471,20.65
470,20.58
469,20.51
470,20.46
473,20.42
469,20.39
468,20.33
463,20.22
469,20.2
464,20.18
469,20.16
463,20.08
461,20.03
466,20.01
461,19.92
466,19.87
465,19.85
464,19.78
463,19.72
464,19.7
459,19.67
463,19.63
465,19.58
454,19.54
462,19.53
461,19.51
462,19.5
457,19.48
461,19.44
461,19.42
458,19.37
461,19.36
451,19.31
461,19.29
460,19.27
456,19.23
460,19.25
454,19.18
460,19.16
452,19.15
461,19.14
454,19.11
459,19.07
458,19.09
452,19.08
458,19.05
459,19.04
453,18.97
456,18.95
459,18.94
459,18.9
458,18.87
459,18.88
452,18.85
459,18.83
458,18.84
452,18.82
458,18.79
452,18.76
458,18.74
457,18.71
454,18.67
452,18.7
451,18.66
458,18.65
457,18.62
458,18.61
451,18.59
457,18.58
450,18.54
454,18.54
457,18.51
457,18.44
449,18.43
445,18.45
457,18.44
